Date,Sessions
13-Dec-22,4003
14-Dec-22,3803
15-Dec-22,3613
16-Dec-22,3282
17-Dec-22,2569
18-Dec-22,2821
19-Dec-22,3628
20-Dec-22,3551
21-Dec-22,3474
22-Dec-22,3185
23-Dec-22,2600
24-Dec-22,2171
25-Dec-22,2351
26-Dec-22,3106
27-Dec-22,3492
28-Dec-22,3426
29-Dec-22,3422
30-Dec-22,2995
31-Dec-22,2359
1-Jan-23,2724
2-Jan-23,3473
3-Jan-23,3934
4-Jan-23,3922
5-Jan-23,3854
6-Jan-23,3529
7-Jan-23,3028
8-Jan-23,3314
9-Jan-23,4319
10-Jan-23,4484
11-Jan-23,4226
12-Jan-23,4030
13-Jan-23,3596
14-Jan-23,3078
15-Jan-23,3544
16-Jan-23,4084
17-Jan-23,4418
18-Jan-23,4348
19-Jan-23,4183
20-Jan-23,3760
21-Jan-23,3080
22-Jan-23,3514
23-Jan-23,4264
24-Jan-23,4334
25-Jan-23,4159
26-Jan-23,4181
27-Jan-23,3749
28-Jan-23,3252
29-Jan-23,3346
30-Jan-23,4284
31-Jan-23,4376
1-Feb-23,4106
2-Feb-23,4124
3-Feb-23,3592
4-Feb-23,3185
5-Feb-23,3505
6-Feb-23,4344
7-Feb-23,4394
8-Feb-23,4279
9-Feb-23,4028
10-Feb-23,3565
11-Feb-23,3041
12-Feb-23,3168
13-Feb-23,4007
14-Feb-23,3860
15-Feb-23,3962
16-Feb-23,3959
17-Feb-23,3482
18-Feb-23,2928
19-Feb-23,3307
20-Feb-23,4006
21-Feb-23,4208
22-Feb-23,4162
23-Feb-23,4012
24-Feb-23,3456
25-Feb-23,2929
26-Feb-23,3217
27-Feb-23,4136
28-Feb-23,4099
1-Mar-23,4016
2-Mar-23,3910
3-Mar-23,3262
4-Mar-23,2836
5-Mar-23,3038
6-Mar-23,3862
7-Mar-23,3871
8-Mar-23,3913
9-Mar-23,3810
10-Mar-23,3277
11-Mar-23,2940
12-Mar-23,3133
